"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"P08697",64571.275550109,24368.880603876,84228.3578984592,56390.0167193232,12831.3486761937,14227.0242422222,23685.0219920554,2134.0795427747,10970.1064756383,8963.70193268738
"P01023",3172256.22943301,1672778.86365331,8911703.38715688,3397998.03698022,364664.245907172,178685.740887539,297522.402015411,232489.596498482,181929.783224701,163041.723334739
"P35858",47227.2869994471,59433.8330256023,124423.90568301,92101.0617228941,10302.0467745863,15516.2137245143,7080.16459113162,5834.04330487461,3998.89281504048,6501.49369471271
"P04114",2656442.208387,872490.427931678,4225737.28686782,4068025.81891999,968075.917413062,357494.430003931,206761.232015537,98471.0501952967,64303.0055169997,163152.981236821
"P05090",112186.454693383,112674.472111571,257259.53890587,309526.512736165,68689.057687773,21258.5586071496,16993.7290041012,15666.0352244489,20009.3688111599,13617.7546200875
"P02649",1157408.00158906,1349015.21262364,2677694.91445089,2255050.28880919,725804.514526191,109180.235871422,112785.863245939,54703.466317934,54058.1892543264,116421.119117201
"P04003",752874.407908453,584346.174576119,1015082.76283106,636519.213973682,207764.47252226,78148.6918827209,97779.4566198927,17426.2395682769,18012.2077964865,79080.2743121498
"P20851",13840.1928592015,20072.5369547122,26772.3468563747,8768.98859613664,6309.08646535813,3416.98895572671,3592.84253230756,589.186599436604,505.686409494076,3044.88783929753
"P40121",8504.13549753202,8802.0409691746,31237.1939313064,39887.9503370561,8090.82566763763,10232.0166431643,9819.65592926113,10686.2919924857,11970.2326592966,1888.91823666826
"P07858",28364.4840638153,16734.8035156388,101157.456410329,316111.928650088,22396.8434840828,21456.3064770277,29725.0216975085,20526.9774250333,15767.1497412949,14243.846062694
"P07339",174127.207689662,180510.376585957,545494.568904141,773472.89260217,174115.2393256,82859.0078599383,113729.685774852,85806.6746237004,68198.8458835754,63848.5005979134
"Q96IY4",14762.7262358423,19633.5674045245,34061.1160914761,20021.770179924,5346.91852527283,4081.15970528703,4420.94461591883,3193.83733688059,2550.77811086151,4853.49487824017
"P31146",8169.48825602789,6263.57206327645,11880.5767040628,28107.665452373,5610.97706476459,3403.53827224691,3387.96058471722,3358.78978455094,1252.88106404404,1258.67411058281
"O95967",36552.2579268893,28260.9243938164,65743.6859972252,58405.3645691435,22151.7483756462,15718.8942478854,19134.5154390228,6068.69081073213,15354.7485779863,22837.1371328456
"P02671",5003396.00414638,2077483.42744041,5208953.38826776,2632252.00047764,753288.823142241,328722.335801737,706274.66064691,190159.768071836,203080.523593852,566564.213098397
"P02675",5790012.38624156,2225875.10082901,9643885.59032705,3709082.3643094,865110.63904193,364023.201821055,679930.30720454,231884.763122582,184975.50161444,556962.018364591
"P02679",5106558.80835558,1821170.53704192,7865728.8111995,3158702.40057317,653603.241220289,294296.831723168,579147.525549237,181511.114862994,163318.368240904,449535.073089565
"P00738",2256686.34207633,642112.354995876,2089338.39937317,880153.2802688,90844.4250388113,85727.3090551928,133744.111351066,141916.958623763,88536.3396967039,131244.640109213
"Q92743",301339.840630137,338934.676110839,680165.887507806,262739.429905857,235791.62744714,75828.1360902562,68636.0562662351,48990.6526592724,103955.565058388,142065.711222513
"P01871",532233.670870966,61961.7526325377,743715.118844673,544481.326298799,117550.653945539,33036.6308227046,95607.5500523741,14336.4072749478,20043.7417084052,33847.5592744022
"P01591",143808.94906763,160161.831118742,619032.857441401,217685.565370046,30809.8755783263,9419.96935918946,20373.4683000577,4044.09229654906,8076.96841992343,13233.9502903584
"P19823",224087.664233127,187283.78196854,412770.854960909,378587.233403242,52300.5276242027,39993.218303218,53058.5255350946,32679.6423041801,22914.7986738126,31403.6412686106
"P61626",62803.1940394685,85279.4805827373,103508.388867251,116836.333771382,34956.6785314768,19606.1196870395,31870.9174079311,15057.3346274753,19700.1599432214,27994.7558407507
"Q96PD5",38222.334773531,48786.8653614914,63735.8332012174,66349.2618109486,14551.6286288752,8853.7449112248,14557.1619656305,3673.51970439912,1197.61945536796,12742.4313038368
"P00747",549390.934746009,436003.065735173,869895.215840715,745963.466240814,187015.077111091,121385.976506978,137618.800099193,91105.5409386513,81222.3465505368,117193.546590253
"P55058",12479.6946926411,18536.5482336189,135434.461654283,72953.1034888741,11729.0087717301,1863.9982197683,3544.5831028026,1178.74445209627,954.499290719627,929.33654743971
"Q15063",2269581.69260248,719564.71441345,2322063.55862539,1921390.81114137,2741373.85959026,758303.447410738,1161198.97750141,621409.832309686,572133.562483562,232161.935138871
"O00391",9587.37073242972,24926.0238866895,24495.6785943459,32113.9529971,5657.06471638423,803.278940228527,6908.29785286959,2867.99302366709,701.339590344849,3345.5888940131
"P35542",90578.489537744,96237.935859443,163095.677705307,220688.247015682,32117.5018619124,7317.67980269937,7842.4499166981,4022.96953504544,6186.20145871468,11845.3524615102
"P24821",151887.886172263,99155.7208628266,1104601.45093979,2190770.69495753,253370.800414744,174353.840417088,294478.202775994,152404.862175177,124471.842099372,57592.9719046883
"P07996",115872.461687778,64673.5430129537,445585.169357844,151104.426087419,157038.199193664,36033.6227389373,23368.8971824204,18444.09215483,9349.06003253494,3640.52863188839
"P35442",191156.807594497,301264.775313537,419439.988857213,199712.309415148,322542.991317375,31656.9602785806,29215.3017943445,3652.25772293685,10370.2368556196,29370.2436620288
"P19971",3723.67431328173,6202.17838094995,22574.014103397,16101.8922895036,4718.20297782469,2940.80383943034,4433.84785895682,1423.96494036881,1320.19894802798,1112.11131243921
"P04004",2243790.99155018,5652373.74089305,5920216.09991878,4331251.01896775,1230451.63334744,577315.556154215,385171.558755582,223346.712436442,515692.08754872,857465.359993022
"A0FGR8",10716.0620779321,8519.15247908743,2512.36817297507,8543.14137449566,6709.99655930587,6500.36856760905,9227.66740093909,5125.47559089814,5228.61817571545,8243.14757067011
"A5A3E0",76548.6060723028,82689.6411775425,71973.7197665425,76867.9801004936,83880.7021147584,72100.8905919976,60329.9535322085,52503.4815936242,46388.6905542096,45567.1265281449
"O00151",67674.5416542271,41230.6264510226,48974.6215954765,41500.3243351668,77603.77024576,75035.9666636407,102873.868773987,92713.5314610251,71546.9280032579,132931.933515943
"O00159",107157.010081174,116750.656478034,104988.652087146,111231.31207982,107934.13158462,97497.9454796617,100017.319289333,84090.4019112677,110527.633570225,82809.1856545327
"O00244",5241.75366327175,2379.70330552448,3862.90962595972,8321.05109434627,6153.04529388502,4497.25479500314,4274.88436373279,2947.38707230667,4079.3195063036,4304.01548527737
"O00299",45925.7592708428,45504.7113491781,70332.167267035,115434.300637674,42417.3772512634,33751.4974707006,32980.2804630769,30089.0682514438,30554.6351092831,34307.4725129439
"O00764",5011.84245874101,4703.03126531342,6362.62150656571,4975.1716469755,1463.43222165869,1505.33541348181,2479.63358614833,1041.08685076289,1471.64578608326,2522.18120774014
"O14558",75223.6088057408,76996.5271772282,58923.7225670679,38623.7514899176,78974.0952780159,70575.1546071296,120254.695069228,69807.3622871346,85684.1988653264,123061.160789213
