"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"P08697",50073.3,18064.2,40263.1,23565,14182.3,19324.5,25496.3,2759.19,14904.3,12649
"P01023",2460000,1240000,4260000,1420000,403058,242708,320275,300590,247175,230074
"P35858",36623.5,44057.2,59477.5,38488.4,11386.7,21075.6,7621.61,7542.94,5433.01,9174.49
"P04114",2060000,646761,2020000,1700000,1070000,485583,222573,127315,87363.9,230231
"P05090",86997.6,83523.5,122976,129349,75921,28875.4,18293.3,20254.9,27185.3,19216.5
"P02649",897539,1e+06,1280000,942370,802221,148299,121411,70727.1,73445,164286
"P04003",583834,433165,485233,265997,229639,106149,105257,22530.7,24471.9,111593
"P20851",10732.7,14879.4,12797.8,3664.5,6973.34,4641.28,3867.6,761.77,687.04,4296.75
"P40121",6594.73,6524.79,14932.1,16668.9,8942.67,13898.1,10570.6,13816.5,16263.1,2665.52
"P07858",21995.9,12405.2,48355.6,132101,24754.9,29144,31998.2,26539.7,21421.7,20100
"P07339",135031,133809,260759,323229,192447,112547,122427,110941,92656.9,90098.9
"Q96IY4",11448.1,14554,16282,8366.96,5909.87,5543.42,4759.03,4129.37,3465.56,6848.94
"P31146",6335.22,4643.07,5679.19,11746,6201.73,4623.01,3647.05,4342.64,1702.2,1776.16
"O95967",28345.3,20949.3,31427,24407.2,24484,21350.9,20597.8,7846.32,20861.4,32226.3
"P02671",3880000,1540000,2490000,1100000,832599,446502,760286,245861,275911,799499
"P02675",4490000,1650000,4610000,1550000,956194,494451,731927,299808,251313,785949
"P02679",3960000,1350000,3760000,1320000,722418,399742,623437,234679,221889,634355
"P00738",1750000,475986,998752,367810,100409,116443,143972,183487,120288,185204
"Q92743",233681,251246,325135,109797,260617,102997,73884.9,63340.9,141237,200474
"P01871",412733,45931.1,355513,227535,129927,44873.5,102919,18535.8,27232,47763.5
"P01591",111520,118725,295912,90969.3,34053.7,12795.1,21931.5,5228.68,10973.6,18674.9
"P19823",173774,138830,197314,158209,57807,54322.6,57116.1,42252.1,31132.7,44314.8
"P61626",48702.2,63216.1,49479.4,48825.1,38637.1,26630.9,34308.2,19467.9,26765.2,39504.4
"Q96PD5",29640.4,36164.8,30467.2,27726.9,16083.7,12026,15670.4,4749.56,1627.12,17981.3
"P00747",426038,323201,415830,311733,206705,164878,148143,117792,110351,165376
"P55058",9677.67,13740.8,64740.8,30486.6,12963.9,2531.86,3815.65,1524.02,1296.81,1311.42
"Q15063",1760000,533400,1110000,802936,3030000,1030000,1250000,803432,777317,327612
"O00391",7434.75,18477.2,11709.5,13420.2,6252.67,1091.09,7436.6,3708.08,952.86,4721.08
"P35542",70241.2,71339.4,77963.5,92224.1,35499,9939.57,8442.19,5201.37,8404.75,16715.4
"P24821",117785,73502.3,528025,915508,280047,236824,316998,197047,169111,81271.5
"P07996",89856,47941.3,213000,63145.5,173572,48944.3,25156,23846.7,12701.9,5137.28
"P35442",148237,223322,200502,83458.4,356502,42999.5,31449.5,4722.07,14089.3,41445.4
"P19971",2887.61,4597.56,10790.9,6728.87,5214.96,3994.48,4772.92,1841.07,1793.66,1569.34
"P04004",1740000,4190000,2830000,1810000,1360000,784165,414627,288769,700634,1210000
"A0FGR8",8310.02,6315.09,1200.97,3570.12,7416.46,8829.42,9933.34,6626.82,7103.75,11632.2
"A5A3E0",59361.4,61296.3,34405.1,32122.6,92712.1,97934.3,64943.6,67882.7,63025,64301.4
"O00151",52479.8,30563.5,23411,17342.7,85774.3,101921,110741,119871,97205.7,187585
"O00159",83097.4,86545.1,50187,46482.8,119298,132431,107666,108722,150166,116855
"O00244",4064.84,1764.03,1846.56,3477.31,6800.87,6108.6,4601.8,3810.73,5542.28,6073.55
"O00299",35614.2,33731.8,33620.4,48239.2,46883.3,45844.5,35502.4,38902.7,41512.4,48412.5
"O00764",3886.55,3486.27,3041.48,2079.09,1617.51,2044.69,2669.26,1346.04,1999.42,3559.14
"O14558",58333.9,57076.1,28166.9,16140.6,87288.9,95861.9,129451,90255.2,116413,173656
"O14773",3641.22,2650.11,4093.55,15166.6,6304.16,5748.68,12222.6,6358.94,5407.7,7671.22
"O14818",9372.83,5196.02,3298.71,11362.4,19752.5,24745.6,13017,18830.4,13577.5,15053
"O14974",16182.2,14254.6,9911.56,11797.9,15671.7,30562.9,28907.8,26102.2,26050,37921.4
"O15061",10022.1,9274.66,4536.57,1681.1,34967.8,68370.3,63906.3,58047.2,69058.6,92425.5
"O15143",7845.92,6919.95,5543.69,11446.6,9117.53,12442.1,14252.7,6663.25,8623,14253.8
"O15144",34948.4,32178.2,26956.2,36843.7,35179.3,47092.2,45409.6,25015.9,33454.7,41413.8
"O15145",30759.9,30860.9,33461.7,15926.4,27186.8,23596.2,29173.1,26819.6,34616.9,34273.7
"O15230",299645,219564,157478,170851,426567,356853,262564,325214,376036,370798
"O15260",5095.59,4067.87,2029,2988.86,5289.24,4773.23,6433.8,5604.9,5677.68,6703.38
"O15511",17801.6,22535,23095.7,16374.7,25143.9,26307.8,19644.2,24997.4,25647.7,15346.7
"O43175",61900.3,56442.8,16475.8,24228.4,66651.7,77426.3,75930.9,68154,87899.8,81176.8
"O43294",113398,127877,58624,32795.1,164974,189429,203053,181031,186809,246680
"O43396",5238.31,10525.6,6430.43,3838.84,12871,10323,9635.56,15548.6,13233,10420.1
"O43399",21508.1,14206.1,6970.7,8847.81,34906.5,31560.5,17937.2,27572.7,34199,29973.7
"O43488",9718.4,12100.5,5388.09,1584.61,18141.9,14934.7,8068.01,8941.09,10784.5,9243.85
"O43491",8810.47,5681.88,1709.06,3950.8,9364.55,11747.7,14227.4,10940.5,11355.1,7893.98
"O43633",2431.35,2502.77,1345.84,3450.29,4043.75,5581.87,3578.17,2986.59,5405.76,4469.02
"O43678",737.15,624.08,188.48,729.91,772.66,725.92,883.09,949.32,1140.54,1405.87
"O43681",3965.45,1910.37,3060.26,5901.16,6377.67,6868,4961.53,6954.36,5426.59,5809.11
"O43707",669500,545257,391758,334065,967524,1160000,796026,1e+06,1040000,854382
"O43776",1570.23,2708.43,2760.11,4371.07,4006.34,4079.13,3133.71,4181.48,5073.77,2278.31
"O43813",17326.8,18212.9,9773.41,11268,24300.1,23779.9,19934.2,22414.1,25644.7,30262.9
"O60264",1786.09,1632.55,1443.78,1331.61,1716.21,2444.14,2057.83,1562.71,1970.79,2266.59
"O60493",5364.31,7071.67,6705.08,6584.67,11073.6,9595.16,10056.7,11208,12452,11445
"O60504",27155.6,33566,21797.5,8279.93,41607,52812.1,51379,35796.2,51096.6,62889.7
"O60506",6060.13,2808.23,5419.61,3979.37,6818.9,6920.55,10120.3,10024.2,7984.34,10279.8
"O60664",8172.15,5143.1,3420.79,2357.52,12058.5,6143.72,10646.4,9331.19,12875.7,14743.6
"O60701",11443.5,4469.44,3384.91,5839.3,10662.3,13192.1,10975.3,5480.85,4597.75,2092.68
"O60749",3231.76,3143.71,3083.4,467.73,4697.54,5065.93,4759.86,3879.68,3484.73,4549.14
"O60888",15269.7,16995.4,11380.5,9576.68,25031.6,20942.9,14955.7,20241.7,15380.1,30155.1
"O75083",135417,118424,73933.4,100387,159049,219891,163225,169886,172280,187575
"O75112",20114.1,17710.5,9506.11,3936.38,29189.2,34315.3,27842.8,34690.7,40460,38186.5
"O75131",6543.29,3866.92,2110.16,1654.89,15750.7,15284.1,10302.5,6987.35,14886.8,11042.1
"O75340",6367.31,5008.55,4027.81,2529.26,2974.7,4385.93,4563.75,5362.5,5022.32,6122.07
"O75347",10053,2837.23,1842.2,1966.61,9284.43,10695.6,12278.4,8509.33,8870.48,15709.8
"O75367",6351.42,7862.65,2015.58,13828.7,12231.8,11691.9,9471.95,14408.8,13055.6,8430.67
"O75368",28351.4,40016.6,24641.1,21499.1,39766.7,55378,47728.3,52687.2,46284.5,60838.4
"O75369",70955.2,4395.93,3054.22,46466.3,58272.9,39274.5,113957,65471.3,44199.5,4495.74
